name,cpus,memory,gpu_count,gpu_memory
r5.large,2,16,0,0
r5.xlarge,4,32,0,0
r5.2xlarge,8,64,0,0
r5.4xlarge,16,128,0,0
r5.8xlarge,32,256,0,0
r5.12xlarge,48,384,0,0
r5.16xlarge,64,512,0,0
r5.24xlarge,96,768,0,0
r5.metal,96,768,0,0
c5.large,2,4,0,0
c5.xlarge,4,8,0,0
c5.2xlarge,8,16,0,0
c5.4xlarge,16,32,0,0
c5.9xlarge,36,72,0,0
c5.12xlarge,48,96,0,0
c5.18xlarge,72,144,0,0
c5.24xlarge,96,192,0,0
c5.metal,96,192,0,0
m5.large,2,8,0,0
m5.xlarge,4,16,0,0
m5.2xlarge,8,32,0,0
m5.4xlarge,16,64,0,0
m5.8xlarge,32,128,0,0
m5.12xlarge,48,192,0,0
m5.16xlarge,64,256,0,0
m5.24xlarge,96,384,0,0
m5.metal,96,384,0,0
g5.xlarge,4,16,1,24
g5.2xlarge,8,32,1,24
g5.4xlarge,16,64,1,24
g5.8xlarge,32,128,1,24
g5.16xlarge,64,256,1,24
g5.12xlarge,48,192,4,96
g5.24xlarge,96,384,4,96
g5.48xlarge,192,768,8,192

